page	lang	kind	source	gate	line	excerpt
StructureDefinition-mii-pr-onko-strahlentherapie-bestrahlung-strahlentherapie-intro	de	summary	Bestrahlungstherapie-Procedure.page.md	B	17	**Written during migration - review before release.** Die Quellseite führte jeden Suchparameter einzeln mit Beispielabfr
StructureDefinition-mii-pr-onko-strahlentherapie-intro	default	summary	Strahlentherapie-Procedure.page.md	B	62	**Written during migration - review before release.** The source page listed every search parameter individually with an
StructureDefinition-mii-pr-onko-strahlentherapie-intro	de	summary	Strahlentherapie-Procedure.page.md	B	62	**Written during migration - review before release.** Die Quellseite führte jeden Suchparameter einzeln mit Beispielabfr
StructureDefinition-mii-pr-onko-studienteilnahme-intro	default	bridge	Studienteilnahme-Observation.page.md	B	117	**Written during migration - review before release.** The instances behind the two examples are `mii-exa-onko-studientei
StructureDefinition-mii-pr-onko-studienteilnahme-intro	de	bridge	Studienteilnahme-Observation.page.md	B	111	**Written during migration - review before release.** Die Instanzen hinter den beiden Beispielen sind `mii-exa-onko-stud
StructureDefinition-mii-pr-onko-systemische-therapie-intro	default	bridge	Systemische-Therapie-Procedure.page.md	B	64	**Written during migration - review before release.** Two statements in the coding recommendation break off incomplete i
StructureDefinition-mii-pr-onko-systemische-therapie-intro	default	summary	Systemische-Therapie-Procedure.page.md	B	72	**Written during migration - review before release.** The source page listed every search parameter individually with an
StructureDefinition-mii-pr-onko-systemische-therapie-intro	de	bridge	Systemische-Therapie-Procedure.page.md	B	64	**Written during migration - review before release.** Zwei Aussagen der Kodierempfehlung brechen in der Quellseite unvol
StructureDefinition-mii-pr-onko-systemische-therapie-intro	de	summary	Systemische-Therapie-Procedure.page.md	B	72	**Written during migration - review before release.** Die Quellseite führte jeden Suchparameter einzeln mit Beispielabfr
StructureDefinition-mii-pr-onko-systemische-therapie-medikation-intro	default	bridge	Systemische-Therapie-MedicationStatement.page.md	B	12	**Written during migration - review before release.** The sentence "Die Angaben zur systemischen onkologischen Medikatio
StructureDefinition-mii-pr-onko-systemische-therapie-medikation-intro	default	summary	Systemische-Therapie-MedicationStatement.page.md	B	22	**Written during migration - review before release.** The source page listed every search parameter individually with an
StructureDefinition-mii-pr-onko-systemische-therapie-medikation-intro	de	bridge	Systemische-Therapie-MedicationStatement.page.md	B	12	**Written during migration - review before release.** Der Satz "Die Angaben zur systemischen onkologischen Medikation im
StructureDefinition-mii-pr-onko-systemische-therapie-medikation-intro	de	summary	Systemische-Therapie-MedicationStatement.page.md	B	22	**Written during migration - review before release.** Die Quellseite führte jeden Suchparameter einzeln mit Beispielabfr
StructureDefinition-mii-pr-onko-therapieempfehlung-medikation-intro	default	bridge	Therapieempfehlung-Medikation-MedicationRequest.page.md	B	84	**Written during migration - review before release.** The source page cross-linked a profile "Tumorkonferenz Detailed Re
StructureDefinition-mii-pr-onko-therapieempfehlung-medikation-intro	de	bridge	Therapieempfehlung-Medikation-MedicationRequest.page.md	B	83	**Written during migration - review before release.** Die Quellseite verwies auf ein Profil "Tumorkonferenz Detailed Rec
StructureDefinition-mii-pr-onko-therapieempfehlung-operation-intro	default	bridge	Therapieempfehlung-Operation-ServiceRequest.page.md	B	85	**Written during migration - review before release.** The source page cross-linked a profile "Tumorkonferenz Detailed Re
StructureDefinition-mii-pr-onko-therapieempfehlung-operation-intro	de	bridge	Therapieempfehlung-Operation-ServiceRequest.page.md	B	82	**Written during migration - review before release.** Die Quellseite verwies auf ein Profil "Tumorkonferenz Detailed Rec
StructureDefinition-mii-pr-onko-tnm-a-symbol-intro	default	summary	TNM-Symbol-a-Observation.page.md	B	10	**Written during migration - review before release.** Condensed from the source page's search-parameter list (one number
StructureDefinition-mii-pr-onko-tnm-a-symbol-intro	de	summary	TNM-Symbol-a-Observation.page.md	B	11	**Written during migration - review before release.** Verdichtet aus der Suchparameter-Liste der Quellseite (je Paramete
StructureDefinition-mii-pr-onko-tnm-klassifikation-intro	default	summary	TNM-Klassifikation-Observation.page.md	B	14	**Written during migration - review before release.** Condensed from the source page's search-parameter list (one number
StructureDefinition-mii-pr-onko-tnm-klassifikation-intro	de	summary	TNM-Klassifikation-Observation.page.md	B	15	**Written during migration - review before release.** Verdichtet aus der Suchparameter-Liste der Quellseite (je Paramete
StructureDefinition-mii-pr-onko-tnm-l-kategorie-intro	default	summary	TNM-Kategorie-l-Observation.page.md	B	8	**Written during migration - review before release.** Condensed from the source page's search-parameter list (one number
StructureDefinition-mii-pr-onko-tnm-l-kategorie-intro	de	summary	TNM-Kategorie-l-Observation.page.md	B	9	**Written during migration - review before release.** Verdichtet aus der Suchparameter-Liste der Quellseite (je Paramete
StructureDefinition-mii-pr-onko-tnm-m-kategorie-intro	default	summary	TNM-Kategorie-M-Observation.page.md	B	9	**Written during migration - review before release.** Condensed from the source page's search-parameter list (one number
StructureDefinition-mii-pr-onko-tnm-m-kategorie-intro	de	summary	TNM-Kategorie-M-Observation.page.md	B	10	**Written during migration - review before release.** Verdichtet aus der Suchparameter-Liste der Quellseite (je Paramete
StructureDefinition-mii-pr-onko-tnm-m-symbol-intro	default	summary	TNM-Symbol-m-Observation.page.md	B	14	**Written during migration - review before release.** Condensed from the source page's search-parameter list (one number
StructureDefinition-mii-pr-onko-tnm-m-symbol-intro	de	summary	TNM-Symbol-m-Observation.page.md	B	16	**Written during migration - review before release.** Verdichtet aus der Suchparameter-Liste der Quellseite (je Paramete
StructureDefinition-mii-pr-onko-tnm-n-kategorie-intro	default	summary	TNM-Kategorie-N-Observation.page.md	B	9	**Written during migration - review before release.** Condensed from the source page's search-parameter list (one number
StructureDefinition-mii-pr-onko-tnm-n-kategorie-intro	de	summary	TNM-Kategorie-N-Observation.page.md	B	10	**Written during migration - review before release.** Verdichtet aus der Suchparameter-Liste der Quellseite (je Paramete
StructureDefinition-mii-pr-onko-tnm-pn-kategorie-intro	default	summary	TNM-Kategorie-Pn-Observation.page.md	B	8	**Written during migration - review before release.** Condensed from the source page's search-parameter list (one number
StructureDefinition-mii-pr-onko-tnm-pn-kategorie-intro	de	summary	TNM-Kategorie-Pn-Observation.page.md	B	9	**Written during migration - review before release.** Verdichtet aus der Suchparameter-Liste der Quellseite (je Paramete
StructureDefinition-mii-pr-onko-tnm-r-symbol-intro	default	summary	TNM-Symbol-r-Observation.page.md	B	8	**Written during migration - review before release.** Condensed from the source page's search-parameter list (one number
StructureDefinition-mii-pr-onko-tnm-r-symbol-intro	de	summary	TNM-Symbol-r-Observation.page.md	B	9	**Written during migration - review before release.** Verdichtet aus der Suchparameter-Liste der Quellseite (je Paramete
StructureDefinition-mii-pr-onko-tnm-s-kategorie-intro	default	summary	TNM-Kategorie-S-Observation.page.md	B	9	**Written during migration - review before release.** Condensed from the source page's search-parameter list (one number
StructureDefinition-mii-pr-onko-tnm-s-kategorie-intro	de	summary	TNM-Kategorie-S-Observation.page.md	B	9	**Written during migration - review before release.** Verdichtet aus der Suchparameter-Liste der Quellseite (je Paramete
StructureDefinition-mii-pr-onko-tnm-t-kategorie-intro	default	summary	TNM-Kategorie-T-Observation.page.md	B	8	**Written during migration - review before release.** Condensed from the source page's search-parameter list (one number
StructureDefinition-mii-pr-onko-tnm-t-kategorie-intro	de	summary	TNM-Kategorie-T-Observation.page.md	B	9	**Written during migration - review before release.** Verdichtet aus der Suchparameter-Liste der Quellseite (je Paramete
StructureDefinition-mii-pr-onko-tnm-v-kategorie-intro	default	summary	TNM-Kategorie-V-Observation.page.md	B	8	**Written during migration - review before release.** Condensed from the source page's search-parameter list (one number
StructureDefinition-mii-pr-onko-tnm-v-kategorie-intro	de	summary	TNM-Kategorie-V-Observation.page.md	B	9	**Written during migration - review before release.** Verdichtet aus der Suchparameter-Liste der Quellseite (je Paramete
StructureDefinition-mii-pr-onko-tnm-y-symbol-intro	default	summary	TNM-Symbol-y-Observation.page.md	B	9	**Written during migration - review before release.** Condensed from the source page's search-parameter list (one number
StructureDefinition-mii-pr-onko-tnm-y-symbol-intro	de	summary	TNM-Symbol-y-Observation.page.md	B	10	**Written during migration - review before release.** Verdichtet aus der Suchparameter-Liste der Quellseite (je Paramete
StructureDefinition-mii-pr-onko-tod-intro	default	bridge	Tod-Observation.page.md	B	108	**Written during migration - review before release.** Three instances in this guide illustrate the profile: `mii-exa-onk
StructureDefinition-mii-pr-onko-tod-intro	de	bridge	Tod-Observation.page.md	B	103	**Written during migration - review before release.** Drei Instanzen in diesem Leitfaden veranschaulichen das Profil: `m
StructureDefinition-mii-pr-onko-tumorkonferenz-intro	default	bridge	Tumorkonferenz-CarePlan.page.md	B	188	**Written during migration - review before release.** Three examples in this guide illustrate the profile: `mii-exa-onko
StructureDefinition-mii-pr-onko-tumorkonferenz-intro	de	bridge	Tumorkonferenz-CarePlan.page.md	B	179	**Written during migration - review before release.** Drei Beispiele in diesem Leitfaden veranschaulichen das Profil: `m
StructureDefinition-mii-pr-onko-verlauf-intro	default	bridge	Verlauf-Observation.page.md	B	105	**Written during migration - review before release.** Search parameter 2 above carries the canonical of `mii-pr-onko-all
StructureDefinition-mii-pr-onko-verlauf-intro	default	bridge	Verlauf-Observation.page.md	B	116	**Written during migration - review before release.** The instance `mii-exa-onko-verlauf-tumor` in this guide illustrate
StructureDefinition-mii-pr-onko-verlauf-intro	de	bridge	Verlauf-Observation.page.md	B	94	**Written during migration - review before release.** Suchparameter 2 oben trägt die Canonical von `mii-pr-onko-allgemei
StructureDefinition-mii-pr-onko-verlauf-intro	de	bridge	Verlauf-Observation.page.md	B	105	**Written during migration - review before release.** Die Instanz `mii-exa-onko-verlauf-tumor` in diesem Leitfaden veran
implementer-guidance	default	bridge	Index.page.md	B	13	**Written during migration - review before release.** The source guide opened its technical-implementation chapter with 
implementer-guidance	default	bridge	QA-Validierung.page.md	B	171	**Written during migration - review before release.** The counts, filter statistics and error lists in this section are 
implementer-guidance	de	bridge	Index.page.md	B	11	**Written during migration - review before release.** Der Quell-Guide eröffnete sein Kapitel zur technischen Implementie
implementer-guidance	de	bridge	QA-Validierung.page.md	B	173	**Written during migration - review before release.** Die Zahlen, Filterstatistiken und Fehlerlisten dieses Abschnitts s
index	default	bridge	Index.page.md	B	12	**Written during migration - review before release.** This guide is an **unofficial try-run migration** of the MII Core 
profiles	default	bridge	Index.page.md	B	22	**Written during migration - review before release.** The oBDS-to-SNOMED-CT mappings of this module are published as Con
profiles	default	summary	Index.page.md	B	53	**Written during migration - review before release.** The TNM artefacts form one family. The grouping profile [TNM Klass
profiles	default	summary	Index.page.md	B	72	**Written during migration - review before release.** The KDS module Onkologie currently comprises four organ-specific m
profiles	de	bridge	Index.page.md	B	22	**Written during migration - review before release.** Die oBDS-SNOMED-CT-Mappings dieses Moduls werden als ConceptMap-Ar
profiles	de	summary	Index.page.md	B	54	**Written during migration - review before release.** Die TNM-Artefakte bilden eine Familie. Das Gruppierungsprofil [TNM
profiles	de	summary	Index.page.md	B	74	**Written during migration - review before release.** Das KDS-Modul Onkologie umfasst derzeit vier organspezifische Modu
value-sets	default	summary	Terminologien.page.md	B	166	**Written during migration - review before release.** Condensed from the source guide's *Terminologien* page, which desc
value-sets	de	summary	Terminologien.page.md	B	170	**Written during migration - review before release.** Verdichtet aus der Seite *Terminologien* des Quell-Guides, die jed
